iter	Passed	Remaining
0	0	787
1	5	2533
2	8	2948
3	12	3094
4	15	3180
5	19	3150
6	22	3251
7	40	5055
8	43	4829
9	47	4692
10	48	4368
11	52	4303
12	71	5463
13	74	5271
14	77	5120
15	80	4966
16	82	4774
17	87	4753
18	90	4667
19	93	4583
20	96	4493
21	100	4449
22	103	4407
23	106	4336
24	110	4295
25	113	4238
26	117	4238
27	120	4194
28	124	4154
29	127	4113
30	130	4069
31	160	4862
32	164	4810
33	167	4753
34	170	4708
35	174	4664
36	177	4610
37	180	4579
38	192	4735
39	195	4701
40	198	4647
41	201	4596
42	204	4547
43	207	4499
44	210	4466
45	214	4439
46	217	4400
47	220	4374
48	223	4336
49	227	4327
50	231	4299
51	237	4323
52	240	4292
53	244	4285
54	247	4259
55	251	4237
56	254	4213
57	257	4186
58	283	4526
59	286	4493
60	289	4460
61	293	4440
62	298	4439
63	301	4409
64	304	4378
65	308	4364
66	312	4346
67	315	4330
68	319	4305
69	322	4280
70	326	4266
71	329	4240
72	331	4215
73	334	4189
74	338	4180
75	358	4362
76	374	4490
77	377	4468
78	381	4443
79	385	4427
80	405	4603
81	408	4577
82	437	4831
83	453	4939
84	455	4906
85	458	4873
86	461	4841
87	464	4810
88	467	4787
89	470	4761
90	474	4735
91	477	4710
92	480	4682
93	483	4662
94	486	4635
95	489	4608
96	492	4581
97	494	4554
98	497	4531
99	500	4508
100	503	4484
101	506	4459
102	509	4435
103	512	4412
104	515	4392
105	518	4373
106	521	4353
107	524	4333
108	527	4312
109	530	4295
110	533	4274
111	536	4255
112	539	4235
113	542	4216
114	545	4196
115	548	4177
116	551	4158
117	553	4139
118	557	4126
119	560	4109
120	563	4094
121	567	4081
122	569	4058
123	574	4057
124	579	4053
125	582	4042
126	585	4025
127	589	4013
128	591	3997
129	595	3987
130	598	3971
131	601	3955
132	604	3939
133	607	3923
134	610	3908
135	612	3893
136	615	3880
137	618	3865
138	621	3851
139	624	3836
140	627	3822
141	630	3808
142	633	3794
143	635	3779
144	638	3765
145	641	3752
146	644	3739
147	647	3725
148	650	3713
149	653	3700
150	655	3686
151	658	3674
152	661	3662
153	664	3650
154	667	3638
155	670	3626
156	673	3615
157	676	3604
158	679	3593
159	682	3581
160	684	3569
161	687	3557
162	690	3546
163	693	3536
164	696	3524
165	699	3512
166	702	3503
167	705	3492
168	708	3483
169	711	3472
170	713	3461
171	717	3452
172	720	3443
173	723	3433
174	726	3422
175	728	3412
176	731	3401
177	734	3393
178	740	3398
179	744	3389
180	747	3383
181	751	3379
182	772	3448
183	775	3440
184	778	3430
185	781	3420
186	784	3410
187	802	3468
188	805	3457
189	808	3447
190	818	3465
191	821	3456
192	824	3445
193	827	3436
194	830	3426
195	833	3417
196	836	3407
197	838	3397
198	841	3389
199	844	3379
200	847	3370
201	850	3360
202	851	3344
203	854	3334
204	857	3325
205	860	3315
206	863	3306
207	866	3297
208	869	3289
209	872	3281
210	875	3272
211	878	3263
212	881	3257
213	884	3250
214	893	3260
215	895	3251
216	898	3243
217	901	3234
218	904	3226
219	907	3218
220	910	3209
221	913	3201
222	924	3221
223	939	3255
224	942	3246
225	945	3238
226	948	3229
227	951	3220
228	953	3211
229	956	3203
230	959	3195
231	963	3188
232	966	3179
233	969	3172
234	971	3164
235	974	3155
236	977	3147
237	980	3139
238	983	3131
